user,item,count
e1d84560-d990-46c7-a63e-4ddf889ef07a,2501-16 1203,10
b49f0778-bca3-480a-abf3-b41d5a8cea75,1606-17 1125,8
84bcccaa-227d-4a06-978a-eaad50a9cbd3,1001-18 7718,7
ed1cec3f-2e5a-43cd-a8c6-f5ef303e6ceb,3001-16 7718,7
d016c978-6e38-4a87-9dbe-7108e88ca90a,3311-14 2305,8
d743a7a4-e450-4fc0-b432-f85b911573be,3156-15 1265,7
49e805ca-885e-41c5-9049-d1c1f5109f29,2035-18 2335,9
84a4dbc3-10b5-4c3b-85d9-8afcc2890998,3211-15 6725,14
5a60b79a-e787-4c2a-be02-c2809bd4fd9b,5610-15 7718,7
50a3cc41-ecab-4f21-bbb7-e8303e6ec2f8,1017-17 1125,14
203d5b16-111e-4bc4-a491-4ffe484b5a99,2001-18 2335,8
7d1bdd47-320a-4ad5-887e-d47a8cf8fe4f,1014-17 5630,10
516c7ab5-a540-44d2-a20e-980de997d51f,2005-18 2335,7
0f77a45c-d2ca-494c-8383-20a640d4147c,1015-17 2295,10
3859621f-3994-43ae-aee7-dc0f17b5a162,1004-18 2308,10
bfa70d03-26da-4678-8be9-4ff8341c1534,5201-15 2335,12
19e15d51-a125-4e3d-a2c5-4a9366f0f545,5252-12 2320,11
f5ba6163-ec3a-4cdd-9546-a2fa10208669,1879-17 3875,15
9f3c1b1b-95ac-4ad0-a3d3-6b94682eda8d,1054-17 2308,8
830ea879-0a1f-4676-ad71-e9a4717cc99f,2404-19 1125,9
a8b92224-3589-4f08-bc44-e6da2bd228cd,5203-12 2320,8
18d5efe2-4d29-4e9b-b760-e1520edc67b1,3436-16 7718,8
b32d1f55-1409-4907-b7c4-1ddc69c70606,2611-18 1225,7
815a3172-73e7-47ef-822f-85dd44045653,1056-17 5635,7
b081cfd7-36db-4983-85f2-73a7b4426cd9,3348-16 2305,20
e11e4710-8c4b-41b1-8aba-391977fd66ca,3365-14 7760,8
9993bf1f-13b1-40b0-8d79-ce21634f33ac,1412-18 7718,7
99159103-a710-4a0e-ba65-6080d856460b,2409-19 8860,7
135ba346-944f-46dd-a59f-fddf54db1ea8,1054-17 2308,12
6f36e6a7-94e4-4c11-8408-d79b3d9e398d,5256-15 8860,9
2f4ec77b-685e-4ec9-81c8-30efb3eeb093,4012-16 1265,11
782aa978-d1bc-4a97-8f62-66996526894d,3422-18 1125,8
096b8639-e381-4a70-b0b8-6b8127f52acf,1001-18 3880,11
73639a33-419a-49c1-a0d8-a7482c7f6c65,1021-17 1125,8
9c6c83a9-a456-445b-bcad-cc094ecae493,2041-18 1125,7
b65bfaf2-dd7e-4d86-ab9a-f167af40da35,3202-18 3430,9
a5fd2aa7-b275-430d-9dfb-26e8a7a12b9f,2705-16 5630,7
0e925087-27f5-40cc-b430-f2c98b1e6fe8,2004-18 2295,11
5bf1ddd1-005f-4613-bff5-57539d5f782d,2211-18 2295,7
3be1b28d-88b0-4cb4-9bac-f863cb10e3a2,2603-18 2335,10
f314e27a-4631-4d24-9e7c-ef7e1793e001,5203-12 2320,7
9aace070-68b2-4d4a-87ee-309788ab8f56,1015-17 2295,14
066490fe-62bb-48be-91e1-029a475bf825,2205-18 7718,38
fc17cefe-d649-44a8-81ac-796b14253c2c,3423-18 2295,11
ed49c3c2-fe38-422e-b6d0-58340d5baf35,2211-18 8822,11
ba1761bb-8336-42b8-a58c-0383889c672f,5610-15 3490,7
79eddf6d-9ef8-47b2-b952-40017f28ca52,3414-15 2345,13
a56a0f5d-6ca0-4b37-8d06-ffa4db05be46,1021-17 5630,8
f4c05086-0005-4ab1-af5a-dccef4a2895d,3313-14 2270,12
cc94d16c-7165-4c07-9bad-f3ff8f7dd362,4062-16 2295,13
995d6406-d377-419d-b303-5ef11c7c686c,3030-16 2295,7
7d1bdd47-320a-4ad5-887e-d47a8cf8fe4f,2431-19 2345,8
6c5f6559-668e-437a-9b4c-c45b9d9607ad,1017-17 5630,9
3c4b6f08-6dd1-4826-ad48-896b592fb040,2222-18 7721,7
b77af934-2a82-499c-b081-95464b66c09d,1401-18 4410,48
7410dea4-2b02-4a57-9706-82c40161a3dc,4017-13 7718,14
41b84861-8b4c-466b-b134-b91ce4e5fd33,2204-18 2335,19
43144f97-3500-41e2-9dc5-1dc85994c20c,3201-18 3430,12
07a0b7d1-f329-4b71-a9cd-12126510977d,3210-15 6725,10
26c38eb7-a6b7-40c2-ad17-05fecc40975b,1054-17 2308,7
bad1be80-5525-4028-ab0d-0d353c539c69,2002-18 2335,20
2c756374-11ad-4ec9-a679-559e344c7ee9,4601-18 3897,9
016d3a96-9b0e-40f9-b16f-c44b239e69bd,2003-18 2295,9
e2b426c5-9334-45e0-a8cd-c51ebb13b75a,4062-16 8822,9
76d7a99b-3120-43b0-82e6-3b8b6b9b97fe,5201-15 2335,8
8f5dc3ad-49c8-429c-a59d-ff03e9b17107,5300-16 2355,11
52abbded-834d-4b58-8c50-b61090ed6a35,3156-15 1265,8
42541358-0fc8-4da8-a33e-663cb548b3bb,4808-18 2295,7
9bc90e6a-32ea-4f8f-b343-453e998f9c3e,2646-18 1225,19
a2cb013b-88c2-4261-9db2-fe7a87f72967,4601-18 3897,11
b29c0a88-4548-4d5b-8b34-da0d1162a36f,1804-17 1125,12
352d72c9-803a-40cf-9c64-4229b9e00d95,1015-17 2295,13
2eaf80b7-848d-4250-8cc5-98248e604d66,3416-15 1265,7
c0a5e411-e03a-4c79-b110-d2e7e57e2923,4823-18 7718,9
7df7e835-a554-426d-92c3-6421a96ab6c0,1017-17 2295,7
6451aea5-7a83-44e0-afd2-016a275a226e,4019-13 7718,10
0989c638-1d2e-49c0-852c-6d1de75aceed,2209-18 3335,8
c820a035-39ce-4f16-a99b-aa7625d3915c,4010-16 2295,20
ed61dec1-8b1c-4a0e-a808-0a8e5f501f2e,2224-18 8822,7
96504a5b-5ee9-4ccf-85ce-153c8e0d1320,3034-16 2295,22
ca262438-a9e6-4f58-9d4c-2855e1be863f,2040-18 1125,7
d992a1ed-3e73-4002-b19e-f2f5c6de61c7,5036-11 6750,9
00310ea3-45a3-49f0-be44-bc907134ce72,1808-17 7718,10
be486c76-d993-41f4-b777-3037d2bfcf8b,0045-00 3003,9
199cf383-d1ce-429a-9472-5c864b2f3f79,1017-17 2295,8
8758d1c6-578f-4396-8a73-2a0bbfbb9aaa,4406-18 2295,1
f6ac8ecf-34c1-414c-93b4-d3900ef3c81c,1425-18 2366,1
03dc272d-e8fc-4101-9a0d-bae0bd7e537c,1603-17 2355,1
b968e03f-48d8-44b6-b763-403def1d580c,2035-18 2335,1
f9e517e4-51e9-495d-80e9-c2e9cbe599bc,2201-18 8822,1
ff8b027a-307c-4050-950b-30fdd03d2ef9,2211-18 2295,1
b794eaa5-55d6-4418-b6b2-d56948e5b751,5256-15 5630,1
64441caf-68b6-4afb-ac76-99d1591f7053,3311-14 2305,1
