user,item,name,count
4a0b96a4-e6a0-41b9-9ecd-7212413c4d9e,2003-18 2295,lyngen Windstopper hybrid Jacket (M),1
77e6a03c-a222-48bb-8737-6c7bb3572a52,5252-12 2320,røldal warm3 Jacket (W),1
424d96d4-d592-4c10-9ceb-e2e2774abd6e,1062-17 2335,lofoten dri1 PrimaLoft170 short Gloves,2
03a116ee-18d5-4968-93f1-ae62d1c35684,1805-17 2345,falketind Alpha60 Jacket (M),1
9359335c-8b7d-449f-a2c0-a84477a6f229,1058-17 6725,lofoten Gore-Tex Pro Light Pants (W),1
5df86533-4df6-423f-a7cc-8c059cf94514,4809-18 2295,oslo Insulated Shacket (M),1
55e99a32-c193-4c4b-becb-10b33ba6877d,2615-18 1225,bitihorn wool T-shirt (M),1
b705269c-47db-4ea1-a47c-eef5697714e5,2640-18 2301,bitihorn super light down900 Jacket (W),1
2364c0e1-819d-4d15-9f8e-f7714151dbfb,1008-18 3300,lofoten multi striped mid weight Merino Socks long,1
f507554d-e844-426c-88ca-2f6ade5c1148,1871-17 8890,falketind warm1 stretch Sweater (W),1
86cd669a-a674-4ea0-9968-729927961d7e,1871-17 7718,falketind warm1 stretch Sweater (W),1
b7765a5c-595b-482b-a3ee-6cec9fade727,5254-15 1005,røldal Thermal Pro Hoodie (M),1
c07de736-3a48-4cbd-93e5-f9c181e68597,1058-16 7718,/29 dri2 PrimaLoft Coat (W),1
be0760d3-edd2-4b5e-ab24-257ac2fa504b,6063-14 3308,finnskogen hybrid Pants (M/W),1
f6b7a499-27a6-491a-8875-a8814e80364a,2021-18 7718,lyngen Windstopper Leather Gloves,1
ea4952da-9f79-4cef-a7ce-e668477564d9,2041-18 1125,lyngen alpha90 Vest (W),1
b2b4aa9c-b581-4045-be21-ae2e708167ca,3034-16 5650,trollveggen warm/wool1 Zip Hoodie (M),1
76dba285-1f57-499e-af2b-4a8d4371b782,2205-18 1179,fjørå warmflex Jacket (M),1
081b178e-cf82-4c4b-b2d7-a51ad60b7937,3422-19 2313,/29 cotton heritage T-Shirt (W),1
4ac72ea7-9f8b-428e-9f8e-b518a2f5ee28,4059-16 8822,svalbard heavy duty Pants (W),1
9eb24c53-cd05-4282-8a7d-87de38e8b57a,2508-16 2345,super Hoodie (M),1
6ae60603-2caf-470a-b593-3d0c38b4984f,1202-17 3895,tamok Gore-Tex Pants LTD (M),5
4c5a3d79-2e80-4dc3-921b-a5a95ec9a2df,5034-11 3460,lofoten warm2 HighLoft Jacket (M),1
40acb8de-98a0-4919-8a66-bb394748c0d0,3691-16 7718,falketind Pack 35L,1
0ea88b97-b3ca-4de7-bca0-81b4e583b293,1281-13 2295,/29 web belt,1
19e4745b-d7d5-4345-8597-21f0be66cee5,5302-16 8915,tamok Gore-Tex Jacket (W),2
47f4dd19-00b5-432a-af5a-82b7875df810,1872-17 1179,falketind Thermal Pro HighLoft Jacket (W),2
42ee5b8b-73d5-4313-af26-5485de50bbb2,1852-17 2345,falketind Thermal Pro HighLoft Jacket (M),2
b7a6c01c-36e3-4360-97ae-e3ca8d356a33,3030-16 2295,trollveggen Thermal Pro Jacket (M),1
aecd9f21-ead5-4e13-83fe-12a97c647a8e,2626-18 7718,bitihorn dri1 Jacket (W),1
848e52c6-2b24-4755-8cb6-965e15c70e81,1871-17 1179,falketind warm1 stretch Sweater (W),1
0438e629-1428-4268-9b50-4de3a6e73632,1611-17 7718,trollveggen heavy weight Merino Socks,1
40b7cbca-65d5-47b1-9a1b-1ce5bdc653e1,3801-17 5630,Wool T-shirt (M),1
af5bb187-457e-4aac-a711-7dbd5b804bf0,1004-18 7718,lofoten Gore-Tex insulated Pants (W),1
e0892d90-59c9-4002-858e-1b19b5d4348a,2003-18 2295,lyngen Windstopper hybrid Jacket (M),1
4a334d8d-d070-4d92-ad70-d8634f54c474,6063-14 3308,finnskogen hybrid Pants (M/W),1
faed554f-6fed-49ab-8541-5c1ce1fec6ad,1171-12 7718,/29 Powerstretch gloves,2
109bad6e-866f-49e3-8e16-cb6b19fd3e42,1058-17 1005,lofoten Gore-Tex Pro Light Pants (W),1
660b98b7-17c8-4ee0-92b5-86733a3b86bc,1801-17 2345,falketind flex1 Jacket (M),1
84c2a694-cc8b-4658-8c00-00d0cd39b8ff,2627-18 7718,bitihorn aero100 Jacket (W),1
28c6160b-37b1-43b0-b3a4-9c9a2e6e9b35,5201-15 2335,røldal Gore-Tex PrimaLoft Pants (M),2
959f75ed-9f07-4bc3-b7ec-9ac32531d817,1058-17 6725,lofoten Gore-Tex Pro Light Pants (W),1
d66dd99a-5435-4ba8-99b0-3883750cd7d4,4059-16 8850,svalbard heavy duty Pants (W),1
39634702-cf16-44c5-9c74-46e4f4a3a9bc,5302-16 3878,tamok Gore-Tex Jacket (W),1
d51c3424-8fd3-47d2-af62-170dcdfddc31,3313-14 2270,falketind Gore-Tex Pants (W),1
6163d965-3145-49ec-be20-ca2065384740,4822-18 7718,oslo Gore-Tex down850 Parka (W),1
9df52984-cf58-48a5-8f4a-bb35d1a47ff3,2612-17 2295,bitihorn Zip off Pants (W),1
a67f7f2d-47ff-4da7-b879-714109ca1e7d,4036-13 1110,svalbard warm1 Vest (W),1
3ae17192-f224-4ac8-91cd-78bf4875011d,4012-16 1265,svalbard Gore-Tex Jacket (W),1
3c4c7a86-15dd-4304-adae-91e61d8e3f31,2051-18 5635,lyngen Windstopper hybrid Jacket (W),1
386385f3-1689-4d21-818a-03634418cf82,1871-17 1265,falketind warm1 stretch Sweater (W),1
5b6b828b-884a-413b-a822-4ca3a1eca254,5338-16 3897,tamok warm/wool2 Zip Hood (W),1
f71b9521-4ce4-4585-8549-59d33d4a4195,4019-13 7800,svalbard flex1 Pants (W),1
9dcf6489-1b3e-4c5f-966a-e45ee59dfe46,1811-17 1179,falketind warm1 stretch Sweater (M),1
8ac70ecb-00fa-4104-b979-805bd36fd52f,1871-17 1179,falketind warm1 stretch Sweater (W),1
c3a44b9d-3756-4c8c-9948-427466419881,2700-16 2309,wool One-Piece (M),1
c0282f49-babd-4d64-9858-01e4d5f44371,3415-15 3897,falketind Windstopper hybrid Pants (M),4
8d95fd5e-df68-4963-9d81-c5f639d1d955,3414-18 7760,/29 mega logo Headband,2
fb1db6fe-aebb-4438-8d82-a0a71ffc7b61,5302-16 8915,tamok Gore-Tex Jacket (W),1
1ffa2f30-f3e0-4fb9-84b8-4d4f1818f2a6,5612-15 3515,røldal Gore-Tex Jacket (W),2
b9802c81-a6e8-4678-88f5-e06221101fb9,4011-16 8860,svalbard Gore-Tex Pants (M),1
4ab97579-fee0-48e0-a9ef-971a2b4268bb,3412-19 1161,/29 tech long sleeve Shirt (W),1
488a26da-ce19-4948-92ac-41770734b1f9,1005-18 2308,lofoten Gore-Tex PrimaLoft Jacket (Jr),1
82198e6a-80d8-45be-938b-466092a9b937,3202-18 3430,recon Gore-Tex Pro Jacket (M/W),2
5cb9cab9-b115-4f23-85d9-9cfeda364da6,5611-15 1005,røldal Gore-Tex Pants (M),2
82437b0e-58c4-498c-a98e-001a4159b66d,1488-14 7718,/29 Snood,2
e1732c40-daa5-40ec-8689-81a962f8cf5f,4059-16 8850,svalbard heavy duty Pants (W),1
58eac020-0199-4ba4-80db-1f5dee1fe109,3201-18 3430,recon Gore-Tex Pro Pants (M/W),1
0bc66d6b-fb4c-414d-9fb9-6019dd1f3f48,4436-15 1210,bitihorn Powerdry Shirt (W),2
5f0ce098-93e8-418c-9a8b-926ce03003e5,1852-17 2295,falketind Thermal Pro HighLoft Jacket (M),1
268c7687-ac0b-4f8e-8a55-af49239bc807,1064-17 1265,lofoten mid weight Merino Socks long,1
5ddf29c4-83fc-4d0c-aee0-26a768aa53ab,3410-18 8870,/29 cotton logo T-Shirt (W),3
b6e69107-c57d-4db7-9293-3f046199be04,4816-18 8900,oslo Gore-Tex insulated Parka (W),1
2aa1224d-c684-48a0-b5cc-84c094dffa79,9611-17 8830,ski/snowboard Bib (M),1
b62a517f-21f7-4258-97fa-c10bc32ff99d,1004-18 7718,lofoten Gore-Tex insulated Pants (W),1
21807d58-49cd-4cf3-bc6f-dd661ba5b2fe,4353-15 1210,bitihorn lightweight Shorts (W),1
9d466a16-28e1-46b5-a2ee-fdf60daed04f,2706-16 6755,wool Zip Neck (W),1
1d3fa34b-a0eb-4db6-92eb-c1163a96a6cb,2004-18 2295,lyngen Windstopper hybrid Pants (M),1
3491c82a-6811-43b5-9d9a-210bf03bbebd,4819-18 2295,oslo cotton/wool Zip Hood (W),1
bb81ef3a-b806-46fa-a17e-704752973886,5202-15 7718,røldal Gore-Tex PrimaLoft Jacket (W),1
2a8033a4-7ae8-45ef-ba2a-1189208b81f7,1809-17 3897,falketind flex1 Shorts (M),1
69bd9bed-6dc6-4e2c-bd13-dbb94712fa13,2501-16 1125,super Longs (M),2
06a4ae14-4a0b-4566-82a0-b77dd7a4b1f4,3423-18 2295,/29 3D mesh Flexfit Cap,1
447c3244-d0d5-4f31-b19b-73af04bdd174,6063-14 3308,finnskogen hybrid Pants (M/W),1
222ed4c1-6f5e-4532-8c50-525a69d4f76f,1206-17 7718,tamok heavy weight Merino Socks long,1
57a7b4ee-cf23-4837-91bb-53be5ef8211d,1882-17 1265,falketind down Vest (W),1
69969c91-0bd4-47e7-8626-8377d09222dc,1462-14 2295,/29 logo Beanie,1
aa136adc-ac6a-4b16-a9e2-17857aa8d3e5,1850-17 7718,falketind flex1 Pants (Jr),1
7ad4958d-7ebb-40a3-99c4-7f3feb32726c,2701-16 7718,wool Longs (M),1
18755e32-2bb7-4d99-9994-75c974621909,7046-12 6740,fjørå equaliser long sleeve Shirt (M),1
16063546-0d9c-4214-a369-c54991836095,4821-18 2295,oslo lightweight down850 Jacket (M),1
0c793cf8-0b50-4c11-8ef8-d5012589d933,1051-17 8915,lofoten super lightweight down Jacket (W),2
29350316-c3d1-4a66-98b0-84df3ccdf27e,3365-14 4470,falketind cotton Shorts (M),1
5da6d0ea-3295-48a2-a60c-32b9b25b4e50,1846-17 2295,falketind warm1 Jacket (W),1
3d06085f-53c8-49d5-a546-3d7aa346056a,4030-13 3430,svalbard warm1 Sweater (M),1
24d90aff-1f83-43a1-ab8e-ebf1b2861d0d,2051-18 1125,lyngen Windstopper hybrid Jacket (W),1
c41a83ea-5f04-40fa-82ed-ce93abe733ad,2800-16 1280,wool One-Piece (Jr),1
74adc51c-2b5b-4bd7-9f64-e91a92a867fa,4019-13 7718,svalbard flex1 Pants (W),1
8f8e7299-01fe-4a3d-9c83-733b17c56562,2207-18 1179,fjørå dri1 Jacket (M),1
63703f19-bdbf-4ace-af21-b2fc6a32e908,2202-18 8822,fjørå Pack 18L,1
dfd54bdd-1f68-4254-8678-c350bf6274e3,1811-17 1179,falketind warm1 stretch Sweater (M),1
4e579fa6-002b-466d-b23e-f90565c7bf78,1850-17 8890,falketind flex1 Pants (Jr),1
31930559-a78b-4457-8245-de08779c93c3,4034-13 5590,svalbard warm1 Vest (M),1
9580ad77-c707-4392-b5b4-77ad36754635,4420-15 1011,bitihorn aero60 Jacket (M),1
f8d4b717-5f21-47eb-b7b4-b5a7a423a837,1478-15 8895,/29 light beanie,1
5121ca72-419b-4e66-8e1f-1dbea0b04f04,2602-18 3335,bitihorn Windstopper Zip-Hood (M),1
2f7ba554-e2a1-4fb3-bd4f-9c5b7ec43c99,1262-13 4465,/29 wool Jacket (M),1
ea18a6ae-f7ee-4093-9af8-f3c00fe0793c,3032-16 7760,trollveggen Thermal Pro Jacket (W),1
e48b089f-5342-4bfd-bea4-ec3a803f6bc9,1882-17 1125,falketind down Vest (W),1
ae077eaa-fb80-4d5f-8cbf-e9cf9296e16a,2440-19 1125,svalbard wool Hood (W),1
413c8607-425f-4435-ba87-d15f75d05d35,3342-14 1255,falketind PrimaLoft60 Jacket (W),1
ba5c897a-2faa-4730-abec-ed7fcefd8e08,4390-15 8822,bitihorn Pack 20L,3
f667eda9-220a-4cdd-9647-2ba0475e2bd0,1405-18 8915,røldal ACE Jacket (M),1
e72ed30b-7d2f-4563-93a2-f362e80cf0fd,1262-13 4465,/29 wool Jacket (M),1
c273e95d-8a7c-424f-b4b8-69a9a9e2c8a6,3344-15 3440,falketind PrimaLoft100 Hood Jacket (M),15
d84d8a16-d019-4b1a-b924-c66ed61af099,5301-16 7724,tamok Gore-Tex Pants (M),1
ec843471-36cb-465d-9790-c27b133787f3,4391-15 2295,bitihorn Hip Pack 6L,1
1f6dc45a-3867-4063-a15a-13fb8d8703af,2628-18 2295,bitihorn super light down900 Sweater (W),1
07bd89f4-cb12-4dcb-8f86-fe528dcb4167,1809-17 3897,falketind flex1 Shorts (M),1
83cac9af-7273-41da-840a-77e12a4f5b77,2441-19 2295,svalbard flex1 Pants (W),1
b0787a10-cc19-45a0-ac55-6c44831ad99b,2700-16 7718,wool One-Piece (M),1
0e3b77f2-8e5b-4aa6-9be2-32dbe314a0c4,2001-17 3900,lyngen light weight Merino Socks long,1
785a84b9-0d13-4bbe-8761-7d7edbc85077,2606-19 7718,bitihorn Tights (M),1
4b126d01-1d69-4d45-bda3-54f184dc7b26,1812-18 2295,falketind down750 Hood Jacket (Jr),1
e2bbc894-34b6-4db3-bf0e-d56c3a65cf0d,2508-16 2345,super Hoodie (M),1
16a2ba83-ce58-47d9-bd95-7ee920c12590,2602-18 2335,bitihorn Windstopper Zip-Hood (M),1
06cb7aef-f3b5-4c7a-8fc3-b10d7f07ff24,4062-16 2295,svalbard cotton Anorak (W),3
fd5d9873-961c-43e7-b099-61ee25cffb68,4807-18 2295,oslo ACE Pea Coat (M),2
29c082b4-8768-47c9-aab0-712b71312567,2714-16 1280,wool Round Neck (W),1
d869cdc8-c513-4400-82b3-6b6fc40337f6,2607-19 3335,bitihorn aero100 Vest (M),1
5f1fabe5-77bb-4def-8a67-58a9e9cbe2cd,2209-18 3335,fjørå Convertible Alpha60 Jacket (M),2
d046ba18-7eb3-49a7-b1e3-4454cfea6a90,2409-19 8860,svalbard mid cotton Pants (M),1
1309dbd4-01d0-4216-b691-ed2648cb0162,3691-16 1179,falketind Pack 35L,2
fee80f46-6536-4dee-9d97-6141d82d9699,2605-18 1225,bitihorn wool Shirt (M),1
9dd58de6-3807-48c6-8062-92d94119a504,6063-14 3308,finnskogen hybrid Pants (M/W),2
bd0e7bfd-474d-49da-a168-2bae33d49267,4010-16 3490,svalbard Gore-Tex Jacket (M),1
0b036ba4-b91d-487a-b874-06aa19375a34,1024-13 5615,/29 cotton polo Shirt (M),1
97bc4ead-eb44-4c9d-a801-dded64385d3e,1200-15 3500,/29 dri3 Coat (M),1
1a77027b-12c8-4409-921d-b4dc11af76f3,4094-16 1265,svalbard Pack 30L,1
ec1b762a-6ab2-49e6-a9e1-66308e7df915,2702-16 2360,wool One-Piece (W),1
1d7ea106-a089-4f54-833c-94c4bbec5e8e,5303-16 9940,tamok Gore-Tex Pants (W),1
a6e2c890-f9f9-48c5-9a28-fe8b6c27af07,2608-19 2295,bitihorn Alpha Hoodie Shirt (M),1
490ee770-03ce-47ee-a1fe-e35ad4c59b9a,2222-18 7721,fjørå equaliser lightweight Long sleeve (M),2
0ad8b354-c6a2-4dc9-851d-1c15d96d3661,3415-15 3897,falketind Windstopper hybrid Pants (M),1
78a38f05-33dc-4758-abb9-35844aa0ee37,2039-18 2295,lyngen Gore-Tex Jacket (W),1
fdc887d6-b5a8-4bd0-b7d5-cbb34b05f62e,2442-19 2295,svalbard heavy duty Pants (W),1
9a4f46d8-7c80-4ce1-8b04-ebeaaefb01a0,1408-18 2295,røldal warmwool1 Jacket (M),1
094e915e-fe42-4cf8-a9df-c402c9b0c8bc,1852-17 7718,falketind Thermal Pro HighLoft Jacket (M),1
96556631-734b-4bdb-8965-6f80f1806804,3417-18 7718,/29 highloft Gloves,2
a8c03653-9580-422f-9d6a-3f881e7fbd2c,2603-99 5640,bitihorn Powerdry Shirt (W),2
9557c22e-3c5f-44b3-8fdf-c047ba40f473,1001-16 5630,lofoten Pack 30L Removable Airbag 3.0 ready,1
f92b4a4d-f120-4b3a-8241-33e251d922d7,1418-18 2295,røldal Gore-Tex insulated Jacket (W),1
0701e636-b64f-4828-b9c4-c9b158f020cc,5142-14 2270,lofoten Alpha Jacket (W),1
970fcdc3-ef3c-4159-a52c-e09ac4cf1603,4201-17 1125,skibotn wool equaliser Long Sleeve (M),1
eae9d2c5-ce9b-4b75-8b98-6abf2fe95a7d,4820-18 7718,oslo Gore-Tex down850 Parka (M),1
abf170da-b552-4f4b-a167-9bdcc6b0f8d6,3624-17 7718," /29 lightweight down850 Jacket (M)",1
b2ebadf3-49db-449c-9787-7f9e55bf0e8f,2502-16 5620,super Onepiece (W),1
d40929ac-4238-485f-ac00-1aec60bc3892,2040-18 2295,lyngen down850 Hood Jacket (W),1
1b06c98d-8864-4c5d-9749-b357d600c509,1803-17 3897,falketind warm1 stretch Zip Hoodie (M),1
52f9ee82-e832-4240-a078-e2111a846115,2615-18 1225,bitihorn wool T-shirt (M),1
1b201c9e-e341-45ca-989d-7e19dfbaeb89,1212-16 7718,tamok cotton Pants (M),1
7f0508c5-a646-40b5-a1c8-544c27a4f503,1811-17 7760,falketind warm1 stretch Sweater (M),1
6e2e7f86-b507-4511-b161-1c280c4066fd,3202-18 3430,recon Gore-Tex Pro Jacket (M/W),1
001885bf-4d62-4153-a921-234afd9cf613,1488-14 7718,/29 Snood,1
80a6b4bd-6fdc-4a9d-8e12-8022d7c783d4,1063-16 2302,/29 cargo Shorts(M),1
698897c5-0142-40b4-aacd-35223d9daf43,4202-17 3898,skibotn wool equaliser T-shirt (M),1
72a493cf-1e4e-429b-b366-3e851be06568,5311-13 5610,narvik Gore-Tex 2L Pants (M),1
bf791afb-94d5-4998-bbe9-eec432788780,3281-15 2345,falketind lightweight Powerstretch Beanie,1
cf8ecc7a-544b-4fd9-8ffd-8351aabdaa81,3801-17 7718,Wool T-shirt (M),2
ab65bc0d-3967-4331-bbcd-bb6fe0dd6379,3336-14 7760,falketind warm1 Hoodie (W),2
2fe64747-062b-43ae-ae82-e35829f01248,2712-16 2355,wool Round Neck (M),1
e5159ea1-b692-4c3d-9e13-ed409fcd3a59,3070-16 8850,trollveggen dri PrimaLoft170 long Gloves,2
49aa56f8-70fc-4696-8da9-ca46d5bae500,1601-17 8850,trollveggen dri PrimaLoft400 long Mittens,1
2bd8af23-6234-4635-a03d-adcb65a75579,1801-17 7718,falketind flex1 Jacket (M),1
15683f9d-631f-4eaa-a371-d8dc01bd738d,0045-00 3003,para ranger synkron Pack 120L,1
65b1b413-413f-4cf3-80cb-147fe130e1c6,1063-17 2335,lofoten dri1 PrimaLoft400 short Mittens,1
4c265b5a-de91-44d3-b015-422c1eb6ddcb,1407-18 2295,røldal down750 Jacket (M),1
3e57a2b3-c96c-456c-9033-c381fb4bf29c,2508-16 8801,super Hoodie (M),1
78b22282-e2fb-4f74-84d6-1a4157b994ca,2048-18 5635,lyngen Gore-Tex Pro Pants (W),1
a69c0255-04f6-4361-970d-b72897886080,1605-17 7718,trollveggen down850 Jacket (W),2
a5c21f0e-4192-4389-8323-a9695df28512,4059-16 3515,svalbard heavy duty Pants (W),1
6c431b56-4029-4880-b7b8-f557ef3915ac,1412-18 7718,røldal dri insulated Leather Gloves,2
8237e8db-b25c-4c38-ad72-3b4250df4368,5254-15 1005,røldal Thermal Pro Hoodie (M),1
fd79bb53-8d78-4d9b-9cff-55daf26d8706,3034-16 8802,trollveggen warm/wool1 Zip Hoodie (M),2
4d75a1c1-b05e-4b98-8542-e5adc1a4ff62,4310-15 6725,bitihorn alpha60 Jacket (M),1
7bfa33c9-2ee5-4f95-a92a-5c992ca2bb02,1299-16 7718,/29 lightweight flex1 Shorts(W),1
2548485d-3e7a-4148-978c-214b4a509d34,3811-17 5630,Wool 3/4 Longs (M),1
c7485306-4650-4851-8d00-f4b8625b52a1,2054-18 7718,lyngen Gore-Tex Infinium down850 Hood Jacket (M),2
0a74bfa1-6b5c-4859-86a5-db4afe5c2baa,2031-18 7718,lyngen dri1 Gloves,1
862eaa2c-eb8b-487d-a4bd-a38c2c8da6e1,4034-13 3430,svalbard warm1 Vest (M),2
cb2a6442-8118-4850-a806-75377dc64bd2,4011-16 7718,svalbard Gore-Tex Pants (M),2
f3e2fe2f-a20f-4dda-96f8-b49dbd799248,1055-17 5635,lofoten Alpha raw Zip Hoodie (W),1
800632c8-a1fa-437c-85bf-cd1658791078,1413-18 2295,røldal insulated hood Jacket (M),1
4b00111f-677b-48bf-96f9-5339fa31a477,3421-18 2295,/29 Snap back Cap,1
1917edd0-3866-40eb-a17e-f89ca7a6c48b,1842-17 7718,falketind flex1 Jacket (W),1
14bc1aaf-655c-4843-b702-bcccf1455092,1270-14 5610,/29 cotton V neck T-Shirt (M),1
b8996162-39cf-4260-834a-0c3fed43fb69,2802-17 3303,finnskogen Gore-Tex Pants (M/W),1
2491dbde-dd0a-45cc-96c6-2b3e66c408d6,5252-15 7700,røldal wool Jacket (W),1
fd6b9263-febe-46d0-9635-1210a9348feb,3691-16 7718,falketind Pack 35L,1
bf4a14bc-fe76-4379-83fd-ed9e2c843a2d,2001-17 7760,lyngen light weight Merino Socks long,1
25c7d903-54ff-4a6e-9656-69a2ac2a8b0b,3174-15 1011,lyngen lightweight down750 Jacket (M),3
aaa638ea-48bf-4f07-be89-1993e41608a3,1803-17 7718,falketind warm1 stretch Zip Hoodie (M),1
b3ab84b1-6d2f-4645-9077-08357dfa1688,3417-15 2303,falketind Windstopper hybrid Pants (W),1
d004036c-222c-4f5c-99ce-635f0ad3e629,1605-17 7718,trollveggen down850 Jacket (W),1
45403b4e-f5e3-4559-b237-2468da73bdec,4390-15 3663,bitihorn Pack 20L,1
