,Algorithm,rND,rKL,rRD,APCR,nd_APCR,equal_ex,ndcg
Action,ALS,0.04892037309577056,0.006232936919895878,0.015850994443068492,1.0,0.9618379409993896,1.015114597204774,0.31256056646053265
Action,FunkSVD,0.06197126004553506,0.010041062960534185,0.02581195252961632,1.0,0.959206261462085,1.006272438010182,0.2713531225615427
Action,ItemItem,0.043988435615423885,0.00614990304882891,0.036671126131134435,1.0,0.9617850562068261,0.9989479992811188,0.2887004549459697
Action,UserUser,0.052483630665905494,0.00585270290852481,0.024109806717034367,1.0,0.9626975836282622,1.015903321259839,0.2665555233998931
Adventure,ALS,0.03378314083885952,0.0037806181673130943,0.054709997916592625,1.0,0.9618379409993896,0.9964860207731208,0.31256056646053265
Adventure,FunkSVD,0.027835656151820713,0.0019760204542317392,0.05291346334481437,1.0,0.959206261462085,0.9936347250104226,0.2713531225615427
Adventure,ItemItem,0.03651078351428024,0.004970242779331298,0.07419139507365437,1.0,0.9617850562068261,0.9874336019812607,0.2887004549459697
Adventure,UserUser,0.03945730137705645,0.005715717439099357,0.08746081734491978,1.0,0.9626975836282622,0.9900402591082612,0.2665555233998931
Animation,ALS,0.041535942223965026,0.006309193741331658,0.08379298252070619,1.0,0.9618379409993896,1.0063149827169577,0.31256056646053265
Animation,FunkSVD,0.03511278389796577,0.005313264952228739,0.0875474720577526,1.0,0.959206261462085,0.9872677205209983,0.2713531225615427
Animation,ItemItem,0.04122019708327457,0.0060595893644460825,0.0667659502408878,1.0,0.9617850562068261,1.0072121907667246,0.2887004549459697
Animation,UserUser,0.03854971578088887,0.0060078481334185875,0.11396737161552731,1.0,0.9626975836282622,0.9870565854476755,0.2665555233998931
Children,ALS,0.03385364930197163,0.004255454656770138,0.04807430725325283,1.0,0.9618379409993896,1.005869037497507,0.31256056646053265
Children,FunkSVD,0.025361967350328328,0.0020724240044403836,0.05093817340648919,1.0,0.959206261462085,0.998996001137503,0.2713531225615427
Children,ItemItem,0.039052112365256055,0.004445107252420005,0.03718365699498409,1.0,0.9617850562068261,1.0094584398963753,0.2887004549459697
Children,UserUser,0.03323825393603844,0.004752020167302551,0.06844047505632395,1.0,0.9626975836282622,0.9906522172443633,0.2665555233998931
Comedy,ALS,0.05556474992489037,0.005584601664783466,0.02243316100474354,1.0,0.9618379409993896,1.0057621355870563,0.31256056646053265
Comedy,FunkSVD,0.053817592826712536,0.005437105930627529,0.011647260884691335,1.0,0.959206261462085,1.016740784669877,0.2713531225615427
Comedy,ItemItem,0.07426363868370299,0.009914706108049271,0.005646633319598273,1.0,0.9617850562068261,1.031319520461457,0.2887004549459697
Comedy,UserUser,0.06176901609605514,0.006987628642765056,0.009353271735135733,1.0,0.9626975836282622,1.020460806950157,0.2665555233998931
Crime,ALS,0.0369996597348051,0.004432983616080618,0.030892896734378582,1.0,0.9618379409993896,1.0134637541911071,0.31256056646053265
Crime,FunkSVD,0.03949291614904136,0.004619775510034252,0.02953962241712271,1.0,0.959206261462085,1.0102436652104265,0.2713531225615427
Crime,ItemItem,0.03907156584488615,0.005291365646427436,0.031239725170726845,1.0,0.9617850562068261,1.0120143221070523,0.2887004549459697
Crime,UserUser,0.032431000825858834,0.0035312734763762203,0.04526922950115095,1.0,0.9626975836282622,0.9977841069754549,0.2665555233998931
Documentary,ALS,0.040755625661984374,0.006557313059598776,0.116595243212098,1.0,0.9618379409993896,0.9807859078333697,0.31256056646053265
Documentary,FunkSVD,0.04561120781552883,0.006347478445922541,0.05459023802786937,1.0,0.959206261462085,1.022040840020404,0.2713531225615427
Documentary,ItemItem,0.04275216262729092,0.007301517956464277,0.10949627939634958,1.0,0.9617850562068261,1.0247856616733109,0.2887004549459697
Documentary,UserUser,0.042557757466140364,0.00608483810305353,0.058502182944352984,1.0,0.9626975836282622,1.0127082125033213,0.2665555233998931
Drama,ALS,0.05119889721708488,0.004965636856025139,0.06856754101733421,1.0,0.9618379409993896,0.9958942685269706,0.31256056646053265
Drama,FunkSVD,0.053351043669442225,0.0038313342339387044,0.085831068120285,1.0,0.959206261462085,0.9896532978830529,0.2713531225615427
Drama,ItemItem,0.05218838104780496,0.005619253000833089,0.07241255351167723,1.0,0.9617850562068261,0.9879283780361731,0.2887004549459697
Drama,UserUser,0.06556304940457677,0.007243077868320954,0.10299065073624121,1.0,0.9626975836282622,0.98198394906622,0.2665555233998931
Fantasy,ALS,0.04441519942007232,0.007123956340914633,0.07959379009109445,1.0,0.9618379409993896,0.9876593812911263,0.31256056646053265
Fantasy,FunkSVD,0.04541120419154603,0.009048390911757454,0.08673918846176608,1.0,0.959206261462085,0.9812758009600849,0.2713531225615427
Fantasy,ItemItem,0.0495538995564613,0.006671450360777584,0.06342926531783108,1.0,0.9617850562068261,0.9997200136436833,0.2887004549459697
Fantasy,UserUser,0.044832087315188535,0.007813434405305485,0.08523475471521601,1.0,0.9626975836282622,0.9830458154130753,0.2665555233998931
Film-Noir,ALS,0.05572500008251162,0.010149277307262138,0.26224890152055375,1.0,0.9618379409993896,0.9557854135026407,0.31256056646053265
Film-Noir,FunkSVD,0.05671309080921006,0.008221867606722012,0.2501164085515834,1.0,0.959206261462085,0.9543098024668328,0.2713531225615427
Film-Noir,ItemItem,0.05788642328394937,0.010780261275825905,0.28361803700484134,1.0,0.9617850562068261,0.9405959300031679,0.2887004549459697
Film-Noir,UserUser,0.04690919874465526,0.007990328609554273,0.18941966733494367,1.0,0.9626975836282622,0.9700670722944641,0.2665555233998931
Horror,ALS,0.056502527958220215,0.007166275630225955,0.17408188296411245,1.0,0.9618379409993896,0.9734550397528937,0.31256056646053265
Horror,FunkSVD,0.051825814034248324,0.00670674250000238,0.1591770980515073,1.0,0.959206261462085,0.96443381102301,0.2713531225615427
Horror,ItemItem,0.06404086438735918,0.008933488543529211,0.22531044151683438,1.0,0.9617850562068261,0.953054543998192,0.2887004549459697
Horror,UserUser,0.04568571301559885,0.007203504753869011,0.1332842256965845,1.0,0.9626975836282622,0.9738164547429372,0.2665555233998931
IMAX,ALS,0.07306191695565628,0.008289210662080545,0.44027668042394646,1.0,0.9618379409993896,0.9262755094857407,0.31256056646053265
IMAX,FunkSVD,0.08019427927865155,0.008367006185498255,0.5606754525978728,1.0,0.959206261462085,0.8911119590575931,0.2713531225615427
IMAX,ItemItem,0.0699071777083219,0.007703322145929315,0.4274301038038981,1.0,0.9617850562068261,0.9183833276949624,0.2887004549459697
IMAX,UserUser,0.07287840219711496,0.007593537295807339,0.4589741868725647,1.0,0.9626975836282622,0.9144327131489807,0.2665555233998931
Musical,ALS,0.03974188882435753,0.005373259913166945,0.09834734370534035,1.0,0.9618379409993896,0.9905354898386926,0.31256056646053265
Musical,FunkSVD,0.03961161578257054,0.004933772861858098,0.09993961357028164,1.0,0.959206261462085,0.986791306118036,0.2713531225615427
Musical,ItemItem,0.04310163152434221,0.005917093731979483,0.08890316394930622,1.0,0.9617850562068261,1.0164892230509681,0.2887004549459697
Musical,UserUser,0.04080464193671326,0.006712931306847887,0.13444502427759575,1.0,0.9626975836282622,0.9709377857656825,0.2665555233998931
Mystery,ALS,0.035316148909222134,0.005007604200919467,0.05740638106285086,1.0,0.9618379409993896,1.0089669650984756,0.31256056646053265
Mystery,FunkSVD,0.038026066768702634,0.005211593088677642,0.018369664108644056,1.0,0.959206261462085,1.0206981027714803,0.2713531225615427
Mystery,ItemItem,0.03864894374154773,0.005513135751908958,0.07847829908262947,1.0,0.9617850562068261,0.9974483579871994,0.2887004549459697
Mystery,UserUser,0.04014246469243082,0.00590919264152964,0.05694061051517001,1.0,0.9626975836282622,1.0031673695022238,0.2665555233998931
Romance,ALS,0.043690833118871536,0.004738200262896305,0.04208326353894223,1.0,0.9618379409993896,0.9979689387474739,0.31256056646053265
Romance,FunkSVD,0.03872170403921887,0.002847917976200345,0.035557102797883905,1.0,0.959206261462085,0.9972790590536097,0.2713531225615427
Romance,ItemItem,0.04111418012538185,0.004177159855880836,0.04025369026763839,1.0,0.9617850562068261,1.000079633974083,0.2887004549459697
Romance,UserUser,0.04469165239391713,0.0050825110836806514,0.016600312993312653,1.0,0.9626975836282622,1.030454286409765,0.2665555233998931
Sci-Fi,ALS,0.03484345187901641,0.005164986426565438,0.06772733017124154,1.0,0.9618379409993896,0.9933201133126435,0.31256056646053265
Sci-Fi,FunkSVD,0.03138229381728721,0.004967843570698742,0.04831256558842779,1.0,0.959206261462085,0.9910028486806997,0.2713531225615427
Sci-Fi,ItemItem,0.03807441764583599,0.005699931042603321,0.058463257094651784,1.0,0.9617850562068261,0.9972816909838427,0.2887004549459697
Sci-Fi,UserUser,0.035670247009443344,0.005200288612761521,0.07037222546269026,1.0,0.9626975836282622,0.9985961404286685,0.2665555233998931
Thriller,ALS,0.043149001421608525,0.004909157798947676,0.06650009797490179,1.0,0.9618379409993896,0.9933541637486948,0.31256056646053265
Thriller,FunkSVD,0.043702462185772194,0.009558799465198366,0.0751441191060169,1.0,0.959206261462085,0.9798592053133632,0.2713531225615427
Thriller,ItemItem,0.05760889850921038,0.008775630887684007,0.12183586072082314,1.0,0.9617850562068261,0.9703293157347525,0.2887004549459697
Thriller,UserUser,0.03826340296147313,0.004626657891381969,0.06724440265882994,1.0,0.9626975836282622,0.9882087399015711,0.2665555233998931
War,ALS,0.05089080967574824,0.007909559098516752,0.20338845848417703,1.0,0.9618379409993896,0.957515921440124,0.31256056646053265
War,FunkSVD,0.054247487287626225,0.00845730573472427,0.23000699901113672,1.0,0.959206261462085,0.9456252205192992,0.2713531225615427
War,ItemItem,0.04652273935978679,0.005825848444309135,0.15911257251756847,1.0,0.9617850562068261,0.9897601695430819,0.2887004549459697
War,UserUser,0.05265756085088821,0.007348425819166804,0.16786612033629453,1.0,0.9626975836282622,0.9860685683706005,0.2665555233998931
Western,ALS,0.052457018066639056,0.007401671917049696,0.2666652787060264,1.0,0.9618379409993896,0.9453947098877867,0.31256056646053265
